Country;Notes;Reporting year;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Algeria;�4;;...;...;5,78%;4,04%;6,99%;7,09%;9,37%;9,35%;10,60%;11,75%;12,72%;11,72%;12,01%;12,10%;10,51%;11,11%;11,26%;9,81%;9,03%;8,36%;7,69%;8,76%;9,09%;10,51%;10,26%;13,22%;13,44%;13,57%;15,20%;14,64%;13,60%;14,36%;15,69%;15,02%;12,41%;19,74%;22,03%;24,57%
Libya;���16;;...;...;...;...;...;...;...;...;...;11,69%;14,21%;11,53%;10,27%;6,30%;5,24%;4,84%;4,90%;5,02%;3,59%;2,81%;3,09%;...;...;...;8,20%;7,16%;10,91%;...;...;...;...;...;...;...;4,51%;5,47%;...;...
Morocco;�17;;...;...;14,50%;15,80%;15,11%;15,81%;16,30%;16,00%;17,61%;17,78%;17,03%;14,54%;8,98%;14,53%;12,50%;13,40%;12,27%;10,51%;11,06%;10,65%;10,41%;10,81%;10,91%;9,76%;9,83%;11,56%;11,08%;10,42%;10,44%;10,59%;10,49%;10,47%;11,66%;12,09%;11,28%;11,11%;10,40%;10,28%
Tunisia;;;...;...;...;6,33%;6,33%;6,19%;6,40%;6,26%;6,67%;6,71%;6,62%;6,18%;6,14%;6,05%;5,90%;6,03%;5,91%;6,01%;6,03%;5,15%;5,20%;5,03%;5,15%;5,33%;5,08%;5,06%;6,53%;7,80%;8,18%;7,07%;6,89%;8,07%;7,86%;7,92%;7,05%;6,97%;7,33%;7,54%
Angola;�?1;;...;...;...;...;...;...;...;...;6,03%;13,88%;6,23%;27,38%;12,88%;10,79%;9,19%;10,93%;11,65%;13,92%;12,29%;8,17%;6,78%;10,46%;10,60%;8,70%;8,70%;12,03%;12,89%;11,48%;12,40%;10,41%;9,50%;8,52%;7,46%;6,68%;5,84%;5,91%;4,36%;5,92%
Benin;�;;...;10,47%;9,24%;...;...;...;...;...;...;...;...;4,52%;2,64%;2,32%;4,07%;4,73%;5,06%;4,82%;5,12%;...;4,56%;...;...;...;4,93%;4,61%;4,93%;4,40%;4,37%;5,18%;3,82%;3,24%;2,41%;2,77%;3,18%;3,95%;4,31%;4,82%
Botswana;;;9,94%;9,51%;10,18%;10,33%;9,90%;10,11%;10,23%;9,06%;7,73%;8,01%;8,56%;7,52%;8,17%;8,99%;9,00%;9,15%;8,48%;8,23%;8,07%;7,58%;6,46%;5,98%;6,17%;6,43%;6,11%;6,17%;6,15%;7,14%;9,96%;9,27%;8,15%;8,46%;8,66%;8,66%;8,55%;5,56%;7,94%;8,94%
Burkina Faso;�;;11,99%;16,01%;13,14%;11,62%;11,25%;9,42%;7,96%;7,09%;6,46%;6,99%;6,34%;5,76%;6,24%;5,88%;6,05%;6,10%;5,96%;5,94%;5,08%;6,20%;6,69%;6,29%;5,66%;5,63%;5,19%;4,89%;6,08%;6,14%;5,39%;5,20%;7,95%;9,53%;8,79%;8,37%;9,19%;13,98%;15,91%;13,21%
Burundi;�;;...;...;17,28%;16,38%;11,85%;13,83%;20,11%;16,36%;20,60%;29,12%;28,34%;24,76%;19,73%;23,90%;22,61%;15,17%;12,02%;13,39%;9,63%;8,76%;6,61%;...;...;...;6,73%;7,14%;8,07%;9,20%;9,94%;8,31%;8,26%;9,76%;7,42%;7,19%;7,74%;12,05%;15,94%;14,85%
Cameroon;�;;...;...;...;...;...;...;...;...;...;...;...;...;8,01%;7,78%;8,50%;8,99%;8,77%;9,21%;9,84%;9,22%;7,89%;8,39%;8,48%;6,36%;6,85%;6,07%;5,51%;5,48%;5,68%;5,92%;5,99%;5,70%;5,81%;5,77%;5,50%;5,42%;5,88%;6,53%
Cape Verde;;;...;...;...;...;...;...;1,59%;2,45%;1,79%;1,93%;2,33%;2,08%;2,74%;2,43%;1,83%;2,23%;1,95%;1,94%;1,69%;1,78%;1,99%;1,47%;1,26%;1,57%;1,60%;1,57%;1,77%;1,78%;2,06%;1,68%;1,76%;1,57%;1,79%;1,78%;1,71%;2,23%;2,37%;2,34%
Central African Republic;14;;...;...;...;6,80%;7,03%;7,18%;5,61%;5,64%;10,31%;...;...;...;...;...;6,52%;10,28%;8,82%;6,74%;...;8,46%;9,67%;10,93%;13,96%;14,47%;11,55%;21,15%;11,27%;11,28%;12,14%;9,69%;7,61%;10,58%;7,40%;10,83%;9,64%;13,16%;12,87%;12,46%
Chad;�;;...;...;...;...;...;...;...;7,67%;8,78%;6,10%;6,20%;7,22%;7,48%;8,71%;8,53%;6,84%;7,93%;7,23%;21,50%;26,29%;31,31%;30,49%;23,67%;22,40%;...;24,52%;12,77%;11,01%;21,14%;14,77%;17,20%;14,93%;15,42%;15,03%;14,60%;11,70%;14,95%;15,53%
Democratic Republic of Congo;�15;;...;...;...;...;...;...;...;...;16,06%;12,67%;3,47%;12,16%;8,85%;...;...;9,59%;16,48%;15,82%;15,67%;12,60%;6,93%;5,26%;5,35%;6,61%;8,26%;8,99%;6,88%;8,03%;7,36%;7,16%;5,22%;5,16%;5,81%;3,85%;3,09%;6,74%;7,21%;8,14%
Congo;�;;...;...;...;...;11,69%;11,10%;...;...;...;...;...;...;...;6,16%;6,61%;9,00%;10,01%;6,86%;5,89%;6,70%;7,41%;...;7,23%;...;...;4,82%;8,11%;...;11,84%;11,95%;11,13%;10,65%;12,32%;11,18%;8,35%;9,73%;5,69%;5,98%
